Area,Date,IncData,stringency_index
Hong Kong,2020/1/23,2,13.89
Hong Kong,2020/1/24,0,13.89
Hong Kong,2020/1/25,3,25
Hong Kong,2020/1/26,3,36.11
Hong Kong,2020/1/27,0,41.67
Hong Kong,2020/1/28,0,45.37
Hong Kong,2020/1/29,2,49.07
Hong Kong,2020/1/30,0,49.07
Hong Kong,2020/1/31,2,49.07
Hong Kong,2020/2/1,1,49.07
Hong Kong,2020/2/2,2,49.07
Hong Kong,2020/2/3,0,49.07
Hong Kong,2020/2/4,2,49.07
Hong Kong,2020/2/5,4,52.78
Hong Kong,2020/2/6,3,52.78
Hong Kong,2020/2/7,1,52.78
Hong Kong,2020/2/8,1,52.78
Hong Kong,2020/2/9,3,52.78
Hong Kong,2020/2/10,9,52.78
Hong Kong,2020/2/11,11,52.78
Hong Kong,2020/2/12,1,52.78
Hong Kong,2020/2/13,3,52.78
Hong Kong,2020/2/14,3,52.78
Hong Kong,2020/2/15,0,52.78
Hong Kong,2020/2/16,1,52.78
Hong Kong,2020/2/17,3,52.78
Hong Kong,2020/2/18,2,52.78
Hong Kong,2020/2/19,1,52.78
Hong Kong,2020/2/20,5,52.78
Hong Kong,2020/2/21,0,52.78
Hong Kong,2020/2/22,1,52.78
Hong Kong,2020/2/23,5,52.78
Hong Kong,2020/2/24,5,52.78
Hong Kong,2020/2/25,5,52.78
Hong Kong,2020/2/26,7,52.78
Hong Kong,2020/2/27,1,52.78
Hong Kong,2020/2/28,2,52.78
Hong Kong,2020/2/29,1,52.78
Hong Kong,2020/3/1,1,52.78
Hong Kong,2020/3/2,4,49.07
Hong Kong,2020/3/3,0,49.07
Hong Kong,2020/3/4,5,49.07
Hong Kong,2020/3/5,0,49.07
Hong Kong,2020/3/6,2,49.07
Hong Kong,2020/3/7,1,49.07
Hong Kong,2020/3/8,6,49.07
Hong Kong,2020/3/9,1,49.07
Hong Kong,2020/3/10,5,49.07
Hong Kong,2020/3/11,6,49.07
Hong Kong,2020/3/12,3,49.07
Hong Kong,2020/3/13,5,49.07
Hong Kong,2020/3/14,6,49.07
Hong Kong,2020/3/15,5,49.07
Hong Kong,2020/3/16,10,49.07
Hong Kong,2020/3/17,7,49.07
Hong Kong,2020/3/18,19,49.07
Hong Kong,2020/3/19,27,49.07
Hong Kong,2020/3/20,48,49.07
Hong Kong,2020/3/21,17,49.07
Hong Kong,2020/3/22,44,49.07
Hong Kong,2020/3/23,34,52.78
Hong Kong,2020/3/24,31,52.78
Hong Kong,2020/3/25,25,52.78
Hong Kong,2020/3/26,45,52.78
Hong Kong,2020/3/27,42,52.78
Hong Kong,2020/3/28,32,52.78
Hong Kong,2020/3/29,51,63.89
Hong Kong,2020/3/30,46,63.89
Hong Kong,2020/3/31,57,63.89
Hong Kong,2020/4/1,57,63.89
