Date,IncData
2020/1/24,3
2020/1/25,0
2020/1/26,3
2020/1/27,0
2020/1/28,0
2020/1/29,2
2020/1/30,2
2020/1/31,1
2020/2/1,1
2020/2/2,1
2020/2/3,0
2020/2/4,3
2020/2/5,3
2020/2/6,3
2020/2/7,2
2020/2/8,0
2020/2/9,10
2020/2/10,6
2020/2/11,7
2020/2/12,1
2020/2/13,3
2020/2/14,3
2020/2/15,0
2020/2/16,1
2020/2/17,3
2020/2/18,2
2020/2/19,3
2020/2/20,3
2020/2/21,0
2020/2/22,1
2020/2/23,5
2020/2/24,7
2020/2/25,4
2020/2/26,6
2020/2/27,2
2020/2/28,1
2020/2/29,1
2020/3/1,3
2020/3/2,2
2020/3/3,0
2020/3/4,4
2020/3/5,0
2020/3/6,3
2020/3/7,2
2020/3/8,5
2020/3/9,1
2020/3/10,5
2020/3/11,9
2020/3/12,2
2020/3/13,6
2020/3/14,4
2020/3/15,7
2020/3/16,9
2020/3/17,10
2020/3/18,25
2020/3/19,16
2020/3/20,48
2020/3/21,17
2020/3/22,44
2020/3/23,39
2020/3/24,30
2020/3/25,24
2020/3/26,43
2020/3/27,65
2020/3/28,64
2020/3/29,59
2020/3/30,41
2020/3/31,32
2020/4/1,51
2020/4/2,37
2020/4/3,43
2020/4/4,17
2020/4/5,28
2020/4/6,24
2020/4/7,21
2020/4/8,25
2020/4/9,13
2020/4/10,16
2020/4/11,11
2020/4/12,4
2020/4/13,5
2020/4/14,3
2020/4/15,4
2020/4/16,1
2020/4/17,4
2020/4/18,2
2020/4/19,2
2020/4/20,0
2020/4/21,4
2020/4/22,4
2020/4/23,2
2020/4/24,0
2020/4/25,2
2020/4/26,0
2020/4/27,0
2020/4/28,0
